date_GMT;home_team_name;away_team_name;home_team_goal_count;away_team_goal_count;total_goal_count;home_team_corner_count;away_team_corner_count;home_team_yellow_cards;home_team_red_cards;away_team_yellow_cards;away_team_red_cards;home_team_shots;away_team_shots;home_team_shots_on_target;away_team_shots_on_target;home_team_fouls;away_team_fouls;home_team_possession;away_team_possession;stadium_name
Jul 19 2014 - 8:15pm;Deportivo Cali;Boyacá Chicó;0;1;1;6;2;3;1;2;0;16;7;12;4;20;24;49;51;Estadio Deportivo Cali
Jul 19 2014 - 10:30pm;Millonarios;Envigado;2;1;3;2;1;0;0;1;0;10;12;4;3;12;19;51;49;Estadio Nemesio Camacho El Campín
Jul 20 2014 - 12:45am;Independiente Medellín;Atlético Nacional;1;0;1;7;7;2;0;3;0;22;6;14;2;13;12;53;47;Estadio Atanasio Girardot
Jul 20 2014 - 8:00pm;Deportes Tolima;Uniautónoma;2;0;2;6;4;2;0;2;0;9;6;7;3;10;26;52;48;Estadio Manuel Murillo Toro
Jul 21 2014 - 12:45am;Fortaleza CEIF;Once Caldas;0;1;1;9;2;6;0;4;0;14;16;6;9;9;11;49;51;Estadio Metropolitano de Techo
Jul 26 2014 - 8:15pm;Atlético Huila;Rionegro Águilas;1;3;4;5;5;3;0;2;0;3;3;3;3;3;3;49;51;Estadio Guillermo Plazas Alcid
Jul 26 2014 - 8:15pm;Envigado;Deportes Tolima;0;0;0;3;1;6;0;3;0;11;9;5;4;18;13;53;47;Estadio Polideportivo Sur
Jul 26 2014 - 10:30pm;Uniautónoma;Junior;2;4;6;6;5;3;0;2;1;13;16;9;8;24;14;53;47;Estadio Metropolitano Roberto Meléndez
Jul 26 2014 - 10:30pm;La Equidad;Millonarios;0;1;1;3;4;4;0;0;0;12;8;9;4;23;14;52;48;Estadio Metropolitano de Techo
Jul 27 2014 - 12:45am;Deportivo Pasto;Independiente Medellín;0;0;0;6;4;1;0;2;0;15;7;5;4;17;16;50;50;Estadio Departamental Libertad
Jul 27 2014 - 8:15pm;Once Caldas;Patriotas Boyacá;2;0;2;3;3;2;1;4;0;14;9;4;4;15;17;49;51;Estadio Palogrande
Jul 27 2014 - 10:30pm;Santa Fe;Fortaleza CEIF;2;0;2;5;6;2;0;3;2;4;10;3;8;24;18;53;47;Estadio Nemesio Camacho El Campín
